review,"검토; 비평(책·극·영화); 검토하다, 비평하다"
complaint,불만
service,"서비스; (교통) 운행; 복무, 근무, 재직"
speaker,발표자
satisfaction,만족
compensation,"보상, 배상"
forecast,예보·예측; 예보하다·예측하다
interpreter,통역가; 통역·해석
enrollment,등록·등록자 수
response,반응·응답
advance,발전·진보·전진; 진보하다
negotiation,협상
open,열다; 열려 있는; 솔직함
confirmation,확인
requirement,요구·필요; 자격요건
growth,성장
retirement,은퇴·퇴임
analysis,분석
schedule,일정; 일정을 잡다
agreement,합의·일치
performance,(업무) 수행; 퍼포먼스·공연
attention,주의·관심·집중
participation,참여·참가
retail,소매; 소매하다; 소매의
nomination,지명·임명
signature,서명·사인
competition,경쟁; 대회·시합
proposal,제안(서)
shopper,쇼핑객
invitation,초청장·초대장
advantage,이점·장점
merit,장점
need,수요·필요; 필요로 하다
precaution,조심·경계; 예방 조치
concern,우려·걱정; 관심
guideline,지침
conjunction,결합·연결; 접속사
alignment,정렬; 정돈; 제휴
obligation,의무·책임
proportion,비율·비; 균형; 몫
apology,사과
appreciation,감사; 감상
charge,수수료; 청구하다
description,묘사·설명
article,(신문·잡지) 글; 물품; 관사
shortage,부족
exaggeration,과장
